Parameter,Row index,Col index,Well specified value,Misspecified value,run_ID,n,m,K,s,nu
Pi,1,1,0.5,0.5,1,100001,2,100,1,1
Pi,2,1,0.5,0.5,1,100001,2,100,1,1
pp,1,1,0.999,0.999,1,100001,2,100,1,1
pp,2,1,0.001,0.001,1,100001,2,100,1,1
pp,1,2,0.001,0.001,1,100001,2,100,1,1
pp,2,2,0.999,0.999,1,100001,2,100,1,1
s,1,1,1,1,1,100001,2,100,1,1
Pi,1,1,0.5,0.5,2,100001,2,500,1,1
Pi,2,1,0.5,0.5,2,100001,2,500,1,1
pp,1,1,0.995,0.995,2,100001,2,500,1,1
pp,2,1,0.005,0.005,2,100001,2,500,1,1
pp,1,2,0.005,0.005,2,100001,2,500,1,1
pp,2,2,0.995,0.995,2,100001,2,500,1,1
s,1,1,1,1,2,100001,2,500,1,1
Pi,1,1,0.5,0.5,3,100001,2,20,1,1
Pi,2,1,0.5,0.5,3,100001,2,20,1,1
pp,1,1,0.9998,0.9998,3,100001,2,20,1,1
pp,2,1,2e-4,2e-4,3,100001,2,20,1,1
pp,1,2,2e-4,2e-4,3,100001,2,20,1,1
pp,2,2,0.9998,0.9998,3,100001,2,20,1,1
s,1,1,1,1,3,100001,2,20,1,1
Pi,1,1,0.5,0.5,4,100001,2,500,1,1
Pi,2,1,0.5,0.5,4,100001,2,500,1,1
pp,1,1,0.995,0.995,4,100001,2,500,1,1
pp,2,1,0.005,0.005,4,100001,2,500,1,1
pp,1,2,0.005,0.005,4,100001,2,500,1,1
pp,2,2,0.995,0.995,4,100001,2,500,1,1
s,1,1,1,1,4,100001,2,500,1,1
Pi,1,1,0.5,0.5,5,100001,2,2,1,1
Pi,2,1,0.5,0.5,5,100001,2,2,1,1
pp,1,1,0.99998,0.99998,5,100001,2,2,1,1
pp,2,1,2e-5,2e-5,5,100001,2,2,1,1
pp,1,2,2e-5,2e-5,5,100001,2,2,1,1
pp,2,2,0.99998,0.99998,5,100001,2,2,1,1
s,1,1,1,1,5,100001,2,2,1,1
Pi,1,1,0.5,0.5,6,100001,2,2000,1,1
Pi,2,1,0.5,0.5,6,100001,2,2000,1,1
pp,1,1,0.98,0.98,6,100001,2,2000,1,1
pp,2,1,0.02,0.02,6,100001,2,2000,1,1
pp,1,2,0.02,0.02,6,100001,2,2000,1,1
pp,2,2,0.98,0.98,6,100001,2,2000,1,1
s,1,1,1,1,6,100001,2,2000,1,1
Pi,1,1,0.5,0.5,7,100001,2,1,1,1
Pi,2,1,0.5,0.5,7,100001,2,1,1,1
pp,1,1,0.99999,0.99999,7,100001,2,1,1,1
pp,2,1,1e-5,1e-5,7,100001,2,1,1,1
pp,1,2,1e-5,1e-5,7,100001,2,1,1,1
pp,2,2,0.99999,0.99999,7,100001,2,1,1,1
s,1,1,1,1,7,100001,2,1,1,1
Pi,1,1,0.5,0.5,8,100001,2,5,1,1
Pi,2,1,0.5,0.5,8,100001,2,5,1,1
pp,1,1,0.99995,0.99995,8,100001,2,5,1,1
pp,2,1,5e-5,5e-5,8,100001,2,5,1,1
pp,1,2,5e-5,5e-5,8,100001,2,5,1,1
pp,2,2,0.99995,0.99995,8,100001,2,5,1,1
s,1,1,1,1,8,100001,2,5,1,1
Pi,1,1,0.5,0.5,9,100001,2,50,1,1
Pi,2,1,0.5,0.5,9,100001,2,50,1,1
pp,1,1,0.9995,0.9995,9,100001,2,50,1,1
pp,2,1,5e-4,5e-4,9,100001,2,50,1,1
pp,1,2,5e-4,5e-4,9,100001,2,50,1,1
pp,2,2,0.9995,0.9995,9,100001,2,50,1,1
s,1,1,1,1,9,100001,2,50,1,1
Pi,1,1,0.5,0.5,10,100001,2,1000,1,1
Pi,2,1,0.5,0.5,10,100001,2,1000,1,1
pp,1,1,0.99,0.99,10,100001,2,1000,1,1
pp,2,1,0.01,0.01,10,100001,2,1000,1,1
pp,1,2,0.01,0.01,10,100001,2,1000,1,1
pp,2,2,0.99,0.99,10,100001,2,1000,1,1
s,1,1,1,1,10,100001,2,1000,1,1
Pi,1,1,0.5,0.5,11,100001,2,20,1,1
Pi,2,1,0.5,0.5,11,100001,2,20,1,1
pp,1,1,0.9998,0.9998,11,100001,2,20,1,1
pp,2,1,2e-4,2e-4,11,100001,2,20,1,1
pp,1,2,2e-4,2e-4,11,100001,2,20,1,1
pp,2,2,0.9998,0.9998,11,100001,2,20,1,1
s,1,1,1,1,11,100001,2,20,1,1
Pi,1,1,0.5,0.5,12,100001,2,2,1,1
Pi,2,1,0.5,0.5,12,100001,2,2,1,1
pp,1,1,0.99998,0.99998,12,100001,2,2,1,1
pp,2,1,2e-5,2e-5,12,100001,2,2,1,1
pp,1,2,2e-5,2e-5,12,100001,2,2,1,1
pp,2,2,0.99998,0.99998,12,100001,2,2,1,1
s,1,1,1,1,12,100001,2,2,1,1
Pi,1,1,0.5,0.5,13,100001,2,10,1,1
Pi,2,1,0.5,0.5,13,100001,2,10,1,1
pp,1,1,0.9999,0.9999,13,100001,2,10,1,1
pp,2,1,1e-4,1e-4,13,100001,2,10,1,1
pp,1,2,1e-4,1e-4,13,100001,2,10,1,1
pp,2,2,0.9999,0.9999,13,100001,2,10,1,1
s,1,1,1,1,13,100001,2,10,1,1
Pi,1,1,0.5,0.5,14,100001,2,500,1,1
Pi,2,1,0.5,0.5,14,100001,2,500,1,1
pp,1,1,0.995,0.995,14,100001,2,500,1,1
pp,2,1,0.005,0.005,14,100001,2,500,1,1
pp,1,2,0.005,0.005,14,100001,2,500,1,1
pp,2,2,0.995,0.995,14,100001,2,500,1,1
s,1,1,1,1,14,100001,2,500,1,1
Pi,1,1,0.5,0.5,15,100001,2,2000,1,1
Pi,2,1,0.5,0.5,15,100001,2,2000,1,1
pp,1,1,0.98,0.98,15,100001,2,2000,1,1
pp,2,1,0.02,0.02,15,100001,2,2000,1,1
pp,1,2,0.02,0.02,15,100001,2,2000,1,1
pp,2,2,0.98,0.98,15,100001,2,2000,1,1
s,1,1,1,1,15,100001,2,2000,1,1
Pi,1,1,0.5,0.5,16,100001,2,50,1,1
Pi,2,1,0.5,0.5,16,100001,2,50,1,1
pp,1,1,0.9995,0.9995,16,100001,2,50,1,1
pp,2,1,5e-4,5e-4,16,100001,2,50,1,1
pp,1,2,5e-4,5e-4,16,100001,2,50,1,1
pp,2,2,0.9995,0.9995,16,100001,2,50,1,1
s,1,1,1,1,16,100001,2,50,1,1
Pi,1,1,0.5,0.5,17,100001,2,1000,1,1
Pi,2,1,0.5,0.5,17,100001,2,1000,1,1
pp,1,1,0.99,0.99,17,100001,2,1000,1,1
pp,2,1,0.01,0.01,17,100001,2,1000,1,1
pp,1,2,0.01,0.01,17,100001,2,1000,1,1
pp,2,2,0.99,0.99,17,100001,2,1000,1,1
s,1,1,1,1,17,100001,2,1000,1,1
Pi,1,1,0.5,0.5,18,100001,2,1000,1,1
Pi,2,1,0.5,0.5,18,100001,2,1000,1,1
pp,1,1,0.99,0.99,18,100001,2,1000,1,1
pp,2,1,0.01,0.01,18,100001,2,1000,1,1
pp,1,2,0.01,0.01,18,100001,2,1000,1,1
pp,2,2,0.99,0.99,18,100001,2,1000,1,1
s,1,1,1,1,18,100001,2,1000,1,1
Pi,1,1,0.5,0.5,19,100001,2,500,1,1
Pi,2,1,0.5,0.5,19,100001,2,500,1,1
pp,1,1,0.995,0.995,19,100001,2,500,1,1
pp,2,1,0.005,0.005,19,100001,2,500,1,1
pp,1,2,0.005,0.005,19,100001,2,500,1,1
pp,2,2,0.995,0.995,19,100001,2,500,1,1
s,1,1,1,1,19,100001,2,500,1,1
Pi,1,1,0.5,0.5,20,100001,2,20,1,1
Pi,2,1,0.5,0.5,20,100001,2,20,1,1
pp,1,1,0.9998,0.9998,20,100001,2,20,1,1
pp,2,1,2e-4,2e-4,20,100001,2,20,1,1
pp,1,2,2e-4,2e-4,20,100001,2,20,1,1
pp,2,2,0.9998,0.9998,20,100001,2,20,1,1
s,1,1,1,1,20,100001,2,20,1,1
Pi,1,1,0.5,0.5,21,100001,2,1,1,1
Pi,2,1,0.5,0.5,21,100001,2,1,1,1
pp,1,1,0.99999,0.99999,21,100001,2,1,1,1
pp,2,1,1e-5,1e-5,21,100001,2,1,1,1
pp,1,2,1e-5,1e-5,21,100001,2,1,1,1
pp,2,2,0.99999,0.99999,21,100001,2,1,1,1
s,1,1,1,1,21,100001,2,1,1,1
Pi,1,1,0.5,0.5,22,100001,2,100,1,1
Pi,2,1,0.5,0.5,22,100001,2,100,1,1
pp,1,1,0.999,0.999,22,100001,2,100,1,1
pp,2,1,0.001,0.001,22,100001,2,100,1,1
pp,1,2,0.001,0.001,22,100001,2,100,1,1
pp,2,2,0.999,0.999,22,100001,2,100,1,1
s,1,1,1,1,22,100001,2,100,1,1
Pi,1,1,0.5,0.5,23,100001,2,2,1,1
Pi,2,1,0.5,0.5,23,100001,2,2,1,1
pp,1,1,0.99998,0.99998,23,100001,2,2,1,1
pp,2,1,2e-5,2e-5,23,100001,2,2,1,1
pp,1,2,2e-5,2e-5,23,100001,2,2,1,1
pp,2,2,0.99998,0.99998,23,100001,2,2,1,1
s,1,1,1,1,23,100001,2,2,1,1
Pi,1,1,0.5,0.5,24,100001,2,2000,1,1
Pi,2,1,0.5,0.5,24,100001,2,2000,1,1
pp,1,1,0.98,0.98,24,100001,2,2000,1,1
pp,2,1,0.02,0.02,24,100001,2,2000,1,1
pp,1,2,0.02,0.02,24,100001,2,2000,1,1
pp,2,2,0.98,0.98,24,100001,2,2000,1,1
s,1,1,1,1,24,100001,2,2000,1,1
Pi,1,1,0.5,0.5,25,100001,2,5,1,1
Pi,2,1,0.5,0.5,25,100001,2,5,1,1
pp,1,1,0.99995,0.99995,25,100001,2,5,1,1
pp,2,1,5e-5,5e-5,25,100001,2,5,1,1
pp,1,2,5e-5,5e-5,25,100001,2,5,1,1
pp,2,2,0.99995,0.99995,25,100001,2,5,1,1
s,1,1,1,1,25,100001,2,5,1,1
Pi,1,1,0.5,0.5,26,100001,2,2000,1,1
Pi,2,1,0.5,0.5,26,100001,2,2000,1,1
pp,1,1,0.98,0.98,26,100001,2,2000,1,1
pp,2,1,0.02,0.02,26,100001,2,2000,1,1
pp,1,2,0.02,0.02,26,100001,2,2000,1,1
pp,2,2,0.98,0.98,26,100001,2,2000,1,1
s,1,1,1,1,26,100001,2,2000,1,1
Pi,1,1,0.5,0.5,27,100001,2,1000,1,1
Pi,2,1,0.5,0.5,27,100001,2,1000,1,1
pp,1,1,0.99,0.99,27,100001,2,1000,1,1
pp,2,1,0.01,0.01,27,100001,2,1000,1,1
pp,1,2,0.01,0.01,27,100001,2,1000,1,1
pp,2,2,0.99,0.99,27,100001,2,1000,1,1
s,1,1,1,1,27,100001,2,1000,1,1
Pi,1,1,0.5,0.5,28,100001,2,500,1,1
Pi,2,1,0.5,0.5,28,100001,2,500,1,1
pp,1,1,0.995,0.995,28,100001,2,500,1,1
pp,2,1,0.005,0.005,28,100001,2,500,1,1
pp,1,2,0.005,0.005,28,100001,2,500,1,1
pp,2,2,0.995,0.995,28,100001,2,500,1,1
s,1,1,1,1,28,100001,2,500,1,1
Pi,1,1,0.5,0.5,29,100001,2,2,1,1
Pi,2,1,0.5,0.5,29,100001,2,2,1,1
pp,1,1,0.99998,0.99998,29,100001,2,2,1,1
pp,2,1,2e-5,2e-5,29,100001,2,2,1,1
pp,1,2,2e-5,2e-5,29,100001,2,2,1,1
pp,2,2,0.99998,0.99998,29,100001,2,2,1,1
s,1,1,1,1,29,100001,2,2,1,1
Pi,1,1,0.5,0.5,30,100001,2,200,1,1
Pi,2,1,0.5,0.5,30,100001,2,200,1,1
pp,1,1,0.998,0.998,30,100001,2,200,1,1
pp,2,1,0.002,0.002,30,100001,2,200,1,1
pp,1,2,0.002,0.002,30,100001,2,200,1,1
pp,2,2,0.998,0.998,30,100001,2,200,1,1
s,1,1,1,1,30,100001,2,200,1,1
Pi,1,1,0.5,0.5,31,100001,2,2000,1,1
Pi,2,1,0.5,0.5,31,100001,2,2000,1,1
pp,1,1,0.98,0.98,31,100001,2,2000,1,1
pp,2,1,0.02,0.02,31,100001,2,2000,1,1
pp,1,2,0.02,0.02,31,100001,2,2000,1,1
pp,2,2,0.98,0.98,31,100001,2,2000,1,1
s,1,1,1,1,31,100001,2,2000,1,1
Pi,1,1,0.5,0.5,32,100001,2,20,1,1
Pi,2,1,0.5,0.5,32,100001,2,20,1,1
pp,1,1,0.9998,0.9998,32,100001,2,20,1,1
pp,2,1,2e-4,2e-4,32,100001,2,20,1,1
pp,1,2,2e-4,2e-4,32,100001,2,20,1,1
pp,2,2,0.9998,0.9998,32,100001,2,20,1,1
s,1,1,1,1,32,100001,2,20,1,1
Pi,1,1,0.5,0.5,33,100001,2,100,1,1
Pi,2,1,0.5,0.5,33,100001,2,100,1,1
pp,1,1,0.999,0.999,33,100001,2,100,1,1
pp,2,1,0.001,0.001,33,100001,2,100,1,1
pp,1,2,0.001,0.001,33,100001,2,100,1,1
pp,2,2,0.999,0.999,33,100001,2,100,1,1
s,1,1,1,1,33,100001,2,100,1,1
Pi,1,1,0.5,0.5,34,100001,2,200,1,1
Pi,2,1,0.5,0.5,34,100001,2,200,1,1
pp,1,1,0.998,0.998,34,100001,2,200,1,1
pp,2,1,0.002,0.002,34,100001,2,200,1,1
pp,1,2,0.002,0.002,34,100001,2,200,1,1
pp,2,2,0.998,0.998,34,100001,2,200,1,1
s,1,1,1,1,34,100001,2,200,1,1
Pi,1,1,0.5,0.5,35,100001,2,20,1,1
Pi,2,1,0.5,0.5,35,100001,2,20,1,1
pp,1,1,0.9998,0.9998,35,100001,2,20,1,1
pp,2,1,2e-4,2e-4,35,100001,2,20,1,1
pp,1,2,2e-4,2e-4,35,100001,2,20,1,1
pp,2,2,0.9998,0.9998,35,100001,2,20,1,1
s,1,1,1,1,35,100001,2,20,1,1
Pi,1,1,0.5,0.5,36,100001,2,20,1,1
Pi,2,1,0.5,0.5,36,100001,2,20,1,1
pp,1,1,0.9998,0.9998,36,100001,2,20,1,1
pp,2,1,2e-4,2e-4,36,100001,2,20,1,1
pp,1,2,2e-4,2e-4,36,100001,2,20,1,1
pp,2,2,0.9998,0.9998,36,100001,2,20,1,1
s,1,1,1,1,36,100001,2,20,1,1
Pi,1,1,0.5,0.5,37,100001,2,1000,1,1
Pi,2,1,0.5,0.5,37,100001,2,1000,1,1
pp,1,1,0.99,0.99,37,100001,2,1000,1,1
pp,2,1,0.01,0.01,37,100001,2,1000,1,1
pp,1,2,0.01,0.01,37,100001,2,1000,1,1
pp,2,2,0.99,0.99,37,100001,2,1000,1,1
s,1,1,1,1,37,100001,2,1000,1,1
Pi,1,1,0.5,0.5,38,100001,2,5,1,1
Pi,2,1,0.5,0.5,38,100001,2,5,1,1
pp,1,1,0.99995,0.99995,38,100001,2,5,1,1
pp,2,1,5e-5,5e-5,38,100001,2,5,1,1
pp,1,2,5e-5,5e-5,38,100001,2,5,1,1
pp,2,2,0.99995,0.99995,38,100001,2,5,1,1
s,1,1,1,1,38,100001,2,5,1,1
Pi,1,1,0.5,0.5,39,100001,2,10,1,1
Pi,2,1,0.5,0.5,39,100001,2,10,1,1
pp,1,1,0.9999,0.9999,39,100001,2,10,1,1
pp,2,1,1e-4,1e-4,39,100001,2,10,1,1
pp,1,2,1e-4,1e-4,39,100001,2,10,1,1
pp,2,2,0.9999,0.9999,39,100001,2,10,1,1
s,1,1,1,1,39,100001,2,10,1,1
Pi,1,1,0.5,0.5,40,100001,2,2,1,1
Pi,2,1,0.5,0.5,40,100001,2,2,1,1
pp,1,1,0.99998,0.99998,40,100001,2,2,1,1
pp,2,1,2e-5,2e-5,40,100001,2,2,1,1
pp,1,2,2e-5,2e-5,40,100001,2,2,1,1
pp,2,2,0.99998,0.99998,40,100001,2,2,1,1
s,1,1,1,1,40,100001,2,2,1,1
Pi,1,1,0.5,0.5,41,100001,2,2,1,1
Pi,2,1,0.5,0.5,41,100001,2,2,1,1
pp,1,1,0.99998,0.99998,41,100001,2,2,1,1
pp,2,1,2e-5,2e-5,41,100001,2,2,1,1
pp,1,2,2e-5,2e-5,41,100001,2,2,1,1
pp,2,2,0.99998,0.99998,41,100001,2,2,1,1
s,1,1,1,1,41,100001,2,2,1,1
Pi,1,1,0.5,0.5,42,100001,2,2000,1,1
Pi,2,1,0.5,0.5,42,100001,2,2000,1,1
pp,1,1,0.98,0.98,42,100001,2,2000,1,1
pp,2,1,0.02,0.02,42,100001,2,2000,1,1
pp,1,2,0.02,0.02,42,100001,2,2000,1,1
pp,2,2,0.98,0.98,42,100001,2,2000,1,1
s,1,1,1,1,42,100001,2,2000,1,1
Pi,1,1,0.5,0.5,43,100001,2,2,1,1
Pi,2,1,0.5,0.5,43,100001,2,2,1,1
pp,1,1,0.99998,0.99998,43,100001,2,2,1,1
pp,2,1,2e-5,2e-5,43,100001,2,2,1,1
pp,1,2,2e-5,2e-5,43,100001,2,2,1,1
pp,2,2,0.99998,0.99998,43,100001,2,2,1,1
s,1,1,1,1,43,100001,2,2,1,1
Pi,1,1,0.5,0.5,44,100001,2,1000,1,1
Pi,2,1,0.5,0.5,44,100001,2,1000,1,1
pp,1,1,0.99,0.99,44,100001,2,1000,1,1
pp,2,1,0.01,0.01,44,100001,2,1000,1,1
pp,1,2,0.01,0.01,44,100001,2,1000,1,1
pp,2,2,0.99,0.99,44,100001,2,1000,1,1
s,1,1,1,1,44,100001,2,1000,1,1
Pi,1,1,0.5,0.5,45,100001,2,50,1,1
Pi,2,1,0.5,0.5,45,100001,2,50,1,1
pp,1,1,0.9995,0.9995,45,100001,2,50,1,1
pp,2,1,5e-4,5e-4,45,100001,2,50,1,1
pp,1,2,5e-4,5e-4,45,100001,2,50,1,1
pp,2,2,0.9995,0.9995,45,100001,2,50,1,1
s,1,1,1,1,45,100001,2,50,1,1
Pi,1,1,0.5,0.5,46,100001,2,1000,1,1
Pi,2,1,0.5,0.5,46,100001,2,1000,1,1
pp,1,1,0.99,0.99,46,100001,2,1000,1,1
pp,2,1,0.01,0.01,46,100001,2,1000,1,1
pp,1,2,0.01,0.01,46,100001,2,1000,1,1
pp,2,2,0.99,0.99,46,100001,2,1000,1,1
s,1,1,1,1,46,100001,2,1000,1,1
Pi,1,1,0.5,0.5,47,100001,2,20,1,1
Pi,2,1,0.5,0.5,47,100001,2,20,1,1
pp,1,1,0.9998,0.9998,47,100001,2,20,1,1
pp,2,1,2e-4,2e-4,47,100001,2,20,1,1
pp,1,2,2e-4,2e-4,47,100001,2,20,1,1
pp,2,2,0.9998,0.9998,47,100001,2,20,1,1
s,1,1,1,1,47,100001,2,20,1,1
Pi,1,1,0.5,0.5,48,100001,2,1,1,1
Pi,2,1,0.5,0.5,48,100001,2,1,1,1
pp,1,1,0.99999,0.99999,48,100001,2,1,1,1
pp,2,1,1e-5,1e-5,48,100001,2,1,1,1
pp,1,2,1e-5,1e-5,48,100001,2,1,1,1
pp,2,2,0.99999,0.99999,48,100001,2,1,1,1
s,1,1,1,1,48,100001,2,1,1,1
Pi,1,1,0.5,0.5,49,100001,2,2000,1,1
Pi,2,1,0.5,0.5,49,100001,2,2000,1,1
pp,1,1,0.98,0.98,49,100001,2,2000,1,1
pp,2,1,0.02,0.02,49,100001,2,2000,1,1
pp,1,2,0.02,0.02,49,100001,2,2000,1,1
pp,2,2,0.98,0.98,49,100001,2,2000,1,1
s,1,1,1,1,49,100001,2,2000,1,1
Pi,1,1,0.5,0.5,50,100001,2,50,1,1
Pi,2,1,0.5,0.5,50,100001,2,50,1,1
pp,1,1,0.9995,0.9995,50,100001,2,50,1,1
pp,2,1,5e-4,5e-4,50,100001,2,50,1,1
pp,1,2,5e-4,5e-4,50,100001,2,50,1,1
pp,2,2,0.9995,0.9995,50,100001,2,50,1,1
s,1,1,1,1,50,100001,2,50,1,1
Pi,1,1,0.5,0.5,51,100001,2,200,1,1
Pi,2,1,0.5,0.5,51,100001,2,200,1,1
pp,1,1,0.998,0.998,51,100001,2,200,1,1
pp,2,1,0.002,0.002,51,100001,2,200,1,1
pp,1,2,0.002,0.002,51,100001,2,200,1,1
pp,2,2,0.998,0.998,51,100001,2,200,1,1
s,1,1,1,1,51,100001,2,200,1,1
Pi,1,1,0.5,0.5,52,100001,2,1000,1,1
Pi,2,1,0.5,0.5,52,100001,2,1000,1,1
pp,1,1,0.99,0.99,52,100001,2,1000,1,1
pp,2,1,0.01,0.01,52,100001,2,1000,1,1
pp,1,2,0.01,0.01,52,100001,2,1000,1,1
pp,2,2,0.99,0.99,52,100001,2,1000,1,1
s,1,1,1,1,52,100001,2,1000,1,1
Pi,1,1,0.5,0.5,53,100001,2,5,1,1
Pi,2,1,0.5,0.5,53,100001,2,5,1,1
pp,1,1,0.99995,0.99995,53,100001,2,5,1,1
pp,2,1,5e-5,5e-5,53,100001,2,5,1,1
pp,1,2,5e-5,5e-5,53,100001,2,5,1,1
pp,2,2,0.99995,0.99995,53,100001,2,5,1,1
s,1,1,1,1,53,100001,2,5,1,1
Pi,1,1,0.5,0.5,54,100001,2,50,1,1
Pi,2,1,0.5,0.5,54,100001,2,50,1,1
pp,1,1,0.9995,0.9995,54,100001,2,50,1,1
pp,2,1,5e-4,5e-4,54,100001,2,50,1,1
pp,1,2,5e-4,5e-4,54,100001,2,50,1,1
pp,2,2,0.9995,0.9995,54,100001,2,50,1,1
s,1,1,1,1,54,100001,2,50,1,1
Pi,1,1,0.5,0.5,55,100001,2,1,1,1
Pi,2,1,0.5,0.5,55,100001,2,1,1,1
pp,1,1,0.99999,0.99999,55,100001,2,1,1,1
pp,2,1,1e-5,1e-5,55,100001,2,1,1,1
pp,1,2,1e-5,1e-5,55,100001,2,1,1,1
pp,2,2,0.99999,0.99999,55,100001,2,1,1,1
s,1,1,1,1,55,100001,2,1,1,1
Pi,1,1,0.5,0.5,56,100001,2,500,1,1
Pi,2,1,0.5,0.5,56,100001,2,500,1,1
pp,1,1,0.995,0.995,56,100001,2,500,1,1
pp,2,1,0.005,0.005,56,100001,2,500,1,1
pp,1,2,0.005,0.005,56,100001,2,500,1,1
pp,2,2,0.995,0.995,56,100001,2,500,1,1
s,1,1,1,1,56,100001,2,500,1,1
Pi,1,1,0.5,0.5,57,100001,2,10,1,1
Pi,2,1,0.5,0.5,57,100001,2,10,1,1
pp,1,1,0.9999,0.9999,57,100001,2,10,1,1
pp,2,1,1e-4,1e-4,57,100001,2,10,1,1
pp,1,2,1e-4,1e-4,57,100001,2,10,1,1
pp,2,2,0.9999,0.9999,57,100001,2,10,1,1
s,1,1,1,1,57,100001,2,10,1,1
Pi,1,1,0.5,0.5,58,100001,2,200,1,1
Pi,2,1,0.5,0.5,58,100001,2,200,1,1
pp,1,1,0.998,0.998,58,100001,2,200,1,1
pp,2,1,0.002,0.002,58,100001,2,200,1,1
pp,1,2,0.002,0.002,58,100001,2,200,1,1
pp,2,2,0.998,0.998,58,100001,2,200,1,1
s,1,1,1,1,58,100001,2,200,1,1
Pi,1,1,0.5,0.5,59,100001,2,1000,1,1
Pi,2,1,0.5,0.5,59,100001,2,1000,1,1
pp,1,1,0.99,0.99,59,100001,2,1000,1,1
pp,2,1,0.01,0.01,59,100001,2,1000,1,1
pp,1,2,0.01,0.01,59,100001,2,1000,1,1
pp,2,2,0.99,0.99,59,100001,2,1000,1,1
s,1,1,1,1,59,100001,2,1000,1,1
Pi,1,1,0.5,0.5,60,100001,2,2000,1,1
Pi,2,1,0.5,0.5,60,100001,2,2000,1,1
pp,1,1,0.98,0.98,60,100001,2,2000,1,1
pp,2,1,0.02,0.02,60,100001,2,2000,1,1
pp,1,2,0.02,0.02,60,100001,2,2000,1,1
pp,2,2,0.98,0.98,60,100001,2,2000,1,1
s,1,1,1,1,60,100001,2,2000,1,1
Pi,1,1,0.5,0.5,61,100001,2,100,1,1
Pi,2,1,0.5,0.5,61,100001,2,100,1,1
pp,1,1,0.999,0.999,61,100001,2,100,1,1
pp,2,1,0.001,0.001,61,100001,2,100,1,1
pp,1,2,0.001,0.001,61,100001,2,100,1,1
pp,2,2,0.999,0.999,61,100001,2,100,1,1
s,1,1,1,1,61,100001,2,100,1,1
Pi,1,1,0.5,0.5,62,100001,2,200,1,1
Pi,2,1,0.5,0.5,62,100001,2,200,1,1
pp,1,1,0.998,0.998,62,100001,2,200,1,1
pp,2,1,0.002,0.002,62,100001,2,200,1,1
pp,1,2,0.002,0.002,62,100001,2,200,1,1
pp,2,2,0.998,0.998,62,100001,2,200,1,1
s,1,1,1,1,62,100001,2,200,1,1
Pi,1,1,0.5,0.5,63,100001,2,200,1,1
Pi,2,1,0.5,0.5,63,100001,2,200,1,1
pp,1,1,0.998,0.998,63,100001,2,200,1,1
pp,2,1,0.002,0.002,63,100001,2,200,1,1
pp,1,2,0.002,0.002,63,100001,2,200,1,1
pp,2,2,0.998,0.998,63,100001,2,200,1,1
s,1,1,1,1,63,100001,2,200,1,1
Pi,1,1,0.5,0.5,64,100001,2,20,1,1
Pi,2,1,0.5,0.5,64,100001,2,20,1,1
pp,1,1,0.9998,0.9998,64,100001,2,20,1,1
pp,2,1,2e-4,2e-4,64,100001,2,20,1,1
pp,1,2,2e-4,2e-4,64,100001,2,20,1,1
pp,2,2,0.9998,0.9998,64,100001,2,20,1,1
s,1,1,1,1,64,100001,2,20,1,1
Pi,1,1,0.5,0.5,65,100001,2,100,1,1
Pi,2,1,0.5,0.5,65,100001,2,100,1,1
pp,1,1,0.999,0.999,65,100001,2,100,1,1
pp,2,1,0.001,0.001,65,100001,2,100,1,1
pp,1,2,0.001,0.001,65,100001,2,100,1,1
pp,2,2,0.999,0.999,65,100001,2,100,1,1
s,1,1,1,1,65,100001,2,100,1,1
Pi,1,1,0.5,0.5,66,100001,2,2000,1,1
Pi,2,1,0.5,0.5,66,100001,2,2000,1,1
pp,1,1,0.98,0.98,66,100001,2,2000,1,1
pp,2,1,0.02,0.02,66,100001,2,2000,1,1
pp,1,2,0.02,0.02,66,100001,2,2000,1,1
pp,2,2,0.98,0.98,66,100001,2,2000,1,1
s,1,1,1,1,66,100001,2,2000,1,1
Pi,1,1,0.5,0.5,67,100001,2,500,1,1
Pi,2,1,0.5,0.5,67,100001,2,500,1,1
pp,1,1,0.995,0.995,67,100001,2,500,1,1
pp,2,1,0.005,0.005,67,100001,2,500,1,1
pp,1,2,0.005,0.005,67,100001,2,500,1,1
pp,2,2,0.995,0.995,67,100001,2,500,1,1
s,1,1,1,1,67,100001,2,500,1,1
Pi,1,1,0.5,0.5,68,100001,2,1,1,1
Pi,2,1,0.5,0.5,68,100001,2,1,1,1
pp,1,1,0.99999,0.99999,68,100001,2,1,1,1
pp,2,1,1e-5,1e-5,68,100001,2,1,1,1
pp,1,2,1e-5,1e-5,68,100001,2,1,1,1
pp,2,2,0.99999,0.99999,68,100001,2,1,1,1
s,1,1,1,1,68,100001,2,1,1,1
Pi,1,1,0.5,0.5,69,100001,2,200,1,1
Pi,2,1,0.5,0.5,69,100001,2,200,1,1
pp,1,1,0.998,0.998,69,100001,2,200,1,1
pp,2,1,0.002,0.002,69,100001,2,200,1,1
pp,1,2,0.002,0.002,69,100001,2,200,1,1
pp,2,2,0.998,0.998,69,100001,2,200,1,1
s,1,1,1,1,69,100001,2,200,1,1
Pi,1,1,0.5,0.5,70,100001,2,2000,1,1
Pi,2,1,0.5,0.5,70,100001,2,2000,1,1
pp,1,1,0.98,0.98,70,100001,2,2000,1,1
pp,2,1,0.02,0.02,70,100001,2,2000,1,1
pp,1,2,0.02,0.02,70,100001,2,2000,1,1
pp,2,2,0.98,0.98,70,100001,2,2000,1,1
s,1,1,1,1,70,100001,2,2000,1,1
Pi,1,1,0.5,0.5,71,100001,2,2000,1,1
